2024-01-31 17:02:44,945 INFO    StreamThr :46940 [internal.py:wandb_internal():86] W&B internal server running at pid: 46940, started at: 2024-01-31 17:02:44.944316
2024-01-31 17:02:44,947 DEBUG   HandlerThread:46940 [handler.py:handle_request():146] handle_request: status
2024-01-31 17:02:44,959 INFO    WriterThread:46940 [datastore.py:open_for_write():85] open: /Users/hutianzheng/Desktop/studying/Y2-P3-ml4grpahs/DGI_CODE/ML4Graphs_DGI/wandb/run-20240131_170244-2t9t2ufu/run-2t9t2ufu.wandb
2024-01-31 17:02:44,960 DEBUG   SenderThread:46940 [sender.py:send():380] send: header
2024-01-31 17:02:44,999 DEBUG   SenderThread:46940 [sender.py:send():380] send: run
2024-01-31 17:02:45,485 INFO    SenderThread:46940 [dir_watcher.py:__init__():211] watching files in: /Users/hutianzheng/Desktop/studying/Y2-P3-ml4grpahs/DGI_CODE/ML4Graphs_DGI/wandb/run-20240131_170244-2t9t2ufu/files
2024-01-31 17:02:45,485 INFO    SenderThread:46940 [sender.py:_start_run_threads():1124] run started: 2t9t2ufu with start time 1706716964.943962
2024-01-31 17:02:45,497 DEBUG   HandlerThread:46940 [handler.py:handle_request():146] handle_request: check_version
2024-01-31 17:02:45,497 DEBUG   SenderThread:46940 [sender.py:send_request():407] send_request: check_version
2024-01-31 17:02:45,556 DEBUG   HandlerThread:46940 [handler.py:handle_request():146] handle_request: run_start
2024-01-31 17:02:45,557 DEBUG   HandlerThread:46940 [system_info.py:__init__():32] System info init
2024-01-31 17:02:45,558 DEBUG   HandlerThread:46940 [system_info.py:__init__():47] System info init done
2024-01-31 17:02:45,558 INFO    HandlerThread:46940 [system_monitor.py:start():194] Starting system monitor
2024-01-31 17:02:45,558 INFO    SystemMonitor:46940 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-01-31 17:02:45,559 INFO    HandlerThread:46940 [system_monitor.py:probe():214] Collecting system info
2024-01-31 17:02:45,559 INFO    SystemMonitor:46940 [interfaces.py:start():190] Started cpu monitoring
2024-01-31 17:02:45,560 DEBUG   HandlerThread:46940 [system_info.py:probe():196] Probing system
2024-01-31 17:02:45,560 INFO    SystemMonitor:46940 [interfaces.py:start():190] Started disk monitoring
